Allergy_Free_Text_Description	Mention	Use Count	DECISION	Comment	RxNorm_CUI	RxNorm_Name	RxNorm_Semantic_Group_Abbreviation	RxNorm_Semantic_Group_Name	NDFRT_Code	NDFRT_Full_Name	NDFRT_Semantic_Group_Abbreviation	NDFRT_Semantic_Group_Name	UNII_Code	UNII_Display_Name
Gentamycin	Gentamycin	1	Map		1596450	Gentamicin	CHEM	Chemicals & Drugs	N0000007213	Gentamicins [Chemical/Ingredient]	CHEM	Chemicals & Drugs	T6Z9V48IKG	GENTAMICIN
gentamycin, clindamycin	clindamycin	1	Map		2582	Clindamycin	CHEM	Chemicals & Drugs	N0000008083	Clindamycin [Chemical/Ingredient]	CHEM	Chemicals & Drugs	3U02EL437C	CLINDAMYCIN
gentamycin, clindamycin	gentamycin	1	Map		1596450	Gentamicin	CHEM	Chemicals & Drugs	N0000007213	Gentamicins [Chemical/Ingredient]	CHEM	Chemicals & Drugs	T6Z9V48IKG	GENTAMICIN
gentemyacin	gentemyacin	1	Map		1596450	Gentamicin	CHEM	Chemicals & Drugs	N0000007213	Gentamicins [Chemical/Ingredient]	CHEM	Chemicals & Drugs	T6Z9V48IKG	GENTAMICIN
Genzar	Genzar	1	Map		12574	gemcitabine	CHEM	Chemicals & Drugs	N0000006563	gemcitabine [Chemical/Ingredient]	CHEM	Chemicals & Drugs	B76N6SBZ8R	GEMCITABINE
gerymyacin	gerymyacin	1	Map		1596450	Gentamicin	CHEM	Chemicals & Drugs	N0000007213	Gentamicins [Chemical/Ingredient]	CHEM	Chemicals & Drugs	T6Z9V48IKG	GENTAMICIN
ginseng	ginseng	1	Map		259385	ginseng root	CHEM	Chemicals & Drugs	N0000022260	GINSENG	CHEM	Chemicals & Drugs	CUQ3A77YXI	ASIAN GINSENG
glaucoma eye drops	glaucoma eye drops	1	Map	Suggest adding text annotation					N0000029339	[OP105] ANTIGLAUCOMA COMBINATIONS,TOPICAL OPHTHALMIC	CHEM	Chemicals & Drugs		
GLUCOPHAGE	GLUCOPHAGE	1	Map		6809	Metformin	CHEM	Chemicals & Drugs	N0000006631	Metformin [Chemical/Ingredient]	CHEM	Chemicals & Drugs	786Z46389E	METFORMIN HYDROCHLORIDE
glue	glue	1	Text annotation only											
gluten	gluten	5	Map		1370781	Wheat gluten extract	CHEM	Chemicals & Drugs	N0000178570	Glutens [Chemical/Ingredient]	CHEM	Chemicals & Drugs	1534K8653J	WHEAT GLUTEN
gluten molds	gluten	1	Map		1370781	Wheat gluten extract	CHEM	Chemicals & Drugs	N0000178570	Glutens [Chemical/Ingredient]	CHEM	Chemicals & Drugs	1534K8653J	WHEAT GLUTEN
gluten molds	molds	1	Map	Close map	235618	Mold Extract	CHEM	Chemicals & Drugs	N0000147229	ALLERGENIC EXTRACT, MOLD	CHEM	Chemicals & Drugs		
go lightly	go lightly	2	Map		815276	POLYETHYLENE GLYCOL 3350 / Potassium Chloride / Sodium Bicarbonate / Sodium Chloride / sodium sulfate	CHEM	Chemicals & Drugs	N0000176205	BISACODYL/ELECTROLYTES/PEG-3350	CHEM	Chemicals & Drugs		
gold	gold	2	Map		1311190	Gold	CHEM	Chemicals & Drugs	N0000005996	Gold [Chemical/Ingredient]	CHEM	Chemicals & Drugs	79Y1949PYO	GOLD
gorgonzola cheese	gorgonzola cheese	1	Text annotation only											
gorodotropin	gorodotropin	1	Map		4986	Chorionic Gonadotropin	CHEM	Chemicals & Drugs	N0000011199	Gonadotropins [Chemical/Ingredient]	CHEM	Chemicals & Drugs	20ED16GHEB	CHORIONIC GONADOTROPIN
grain vinegar	grain vinegar	1	Text annotation only											
GRAIN, WHEAT	GRAIN, WHEAT	1	Map		1441652	Wheat preparation	CHEM	Chemicals & Drugs	N0000022803	WHEAT	CHEM	Chemicals & Drugs	4J2I0SN84Y	WHEAT
GRAPE JELLY	GRAPE JELLY	1	Map	Close map	253172	grape extract	CHEM	Chemicals & Drugs						
grape juice	grape juice	1	Map	Close map	253172	grape extract	CHEM	Chemicals & Drugs						
Grapefruit	Grapefruit	5	Map		124323	GRAPEFRUIT EXTRACT	CHEM	Chemicals & Drugs	N0000022283	GRAPEFRUIT	CHEM	Chemicals & Drugs	O82C39RR8C	GRAPEFRUIT
grapefruit juice	grapefruit juice	1	Map		124323	GRAPEFRUIT EXTRACT	CHEM	Chemicals & Drugs	N0000022283	GRAPEFRUIT	CHEM	Chemicals & Drugs	JQ9EK2H6BG	GRAPEFRUIT JUICE
grapes	grapes	2	Map	Close map	253172	grape extract	CHEM	Chemicals & Drugs						
Grass	Grass	3	Map						N0000185000	Pollen [Chemical/Ingredient]	CHEM	Chemicals & Drugs	3729L8MA2C	BEE POLLEN
grass mold	grass	1	Map	Suggest adding text annotation					N0000185000	Pollen [Chemical/Ingredient]	CHEM	Chemicals & Drugs	3729L8MA2C	BEE POLLEN
grass mold	mold	1	Map	Close map	235618	Mold Extract	CHEM	Chemicals & Drugs	N0000147229	ALLERGENIC EXTRACT, MOLD	CHEM	Chemicals & Drugs		
grass trees dust mold ragwee	dust	1	Map	Suggest adding text annotation	852519	house dust allergenic extract	CHEM	Chemicals & Drugs	N0000185012	House Dust [Chemical/Ingredient]	CHEM	Chemicals & Drugs	EYO007VX98	HOUSE DUST
grass trees dust mold ragwee	grass	1	Map	Suggest adding text annotation					N0000185000	Pollen [Chemical/Ingredient]	CHEM	Chemicals & Drugs	3729L8MA2C	BEE POLLEN
grass trees dust mold ragwee	mold	1	Map	Close map	235618	Mold Extract	CHEM	Chemicals & Drugs	N0000147229	ALLERGENIC EXTRACT, MOLD	CHEM	Chemicals & Drugs		
grass trees dust mold ragwee	ragwee	1	Map	Close map					N0000021039	ALLERGENIC EXTRACT,RAGWEED STOCK POLLEN	CHEM	Chemicals & Drugs		
grass trees dust mold ragwee	trees	1	Map	Suggest adding text annotation					N0000185000	Pollen [Chemical/Ingredient]	CHEM	Chemicals & Drugs	3729L8MA2C	BEE POLLEN
grass trees mold	grass	1	Map	Suggest adding text annotation					N0000185000	Pollen [Chemical/Ingredient]	CHEM	Chemicals & Drugs	3729L8MA2C	BEE POLLEN
grass trees mold	mold	1	Map	Close map	235618	Mold Extract	CHEM	Chemicals & Drugs	N0000147229	ALLERGENIC EXTRACT, MOLD	CHEM	Chemicals & Drugs		
grass trees mold	trees	1	Map	Suggest adding text annotation					N0000185000	Pollen [Chemical/Ingredient]	CHEM	Chemicals & Drugs	3729L8MA2C	BEE POLLEN
Grass Weeds Trees	Grass	1	Map	Suggest adding text annotation					N0000185000	Pollen [Chemical/Ingredient]	CHEM	Chemicals & Drugs	3729L8MA2C	BEE POLLEN
Grass Weeds Trees	Trees	1	Map	Suggest adding text annotation					N0000185000	Pollen [Chemical/Ingredient]	CHEM	Chemicals & Drugs	3729L8MA2C	BEE POLLEN
Grass Weeds Trees	Weeds	1	Map	Suggest adding text annotation					N0000185000	Pollen [Chemical/Ingredient]	CHEM	Chemicals & Drugs	3729L8MA2C	BEE POLLEN
grasses	grasses	1	Map	Suggest adding text annotation					N0000185000	Pollen [Chemical/Ingredient]	CHEM	Chemicals & Drugs	3729L8MA2C	BEE POLLEN
green antiseptic scrub	green antiseptic scrub	1	Map	Suggest adding text annotation					N0000175486	Antiseptic [EPC]	CHEM	Chemicals & Drugs		
green peppers	green peppers	1	Map	Close map	1315118	green bell pepper extract	CHEM	Chemicals & Drugs					4J4DOU3HEK	GREEN BELL PEPPER
green tea	green tea	1	Map		659476	Green Tea Extract	CHEM	Chemicals & Drugs	N0000148798	GREEN TEA	CHEM	Chemicals & Drugs	W2ZU1RY8B0	GREEN TEA LEAF
guacamole	guacamole	1	Map	Close match	895582	avocado allergenic extract	CHEM	Chemicals & Drugs					SDS87L369F	AVOCADO
guafenesin	guafenesin	1	Map		5032	Guaifenesin	CHEM	Chemicals & Drugs	N0000006928	Guaifenesin [Chemical/Ingredient]	CHEM	Chemicals & Drugs	495W7451VQ	GUAIFENESIN
guifcinocin (substance in antihistamines	guifcinocin (substance in antihistamines	1	Map		5032	Guaifenesin	CHEM	Chemicals & Drugs	N0000006928	Guaifenesin [Chemical/Ingredient]	CHEM	Chemicals & Drugs	495W7451VQ	GUAIFENESIN
Gusiefenesin	Gusiefenesin	1	Map		5032	Guaifenesin	CHEM	Chemicals & Drugs	N0000006928	Guaifenesin [Chemical/Ingredient]	CHEM	Chemicals & Drugs	495W7451VQ	GUAIFENESIN
Hair dye	Hair dye	5	Map	Suggest adding text annotation					N0000175533	Dyes [MoA]	PHYS	Physiology		
haldol	haldol	8	Map		5093	Haloperidol	CHEM	Chemicals & Drugs	N0000006048	Haloperidol [Chemical/Ingredient]	CHEM	Chemicals & Drugs	J6292F8L3D	HALOPERIDOL
HALDOL --  (RASH)	HALDOL --  (RASH)	1	Map		5093	Haloperidol	CHEM	Chemicals & Drugs	N0000006048	Haloperidol [Chemical/Ingredient]	CHEM	Chemicals & Drugs	J6292F8L3D	HALOPERIDOL
haldol, prolixin, shell fish and all sea food	all sea food	1	Text annotation only											
haldol, prolixin, shell fish and all sea food	haldol	1	Map		5093	Haloperidol	CHEM	Chemicals & Drugs	N0000006048	Haloperidol [Chemical/Ingredient]	CHEM	Chemicals & Drugs	J6292F8L3D	HALOPERIDOL
haldol, prolixin, shell fish and all sea food	prolixin	1	Map		4496	Fluphenazine	CHEM	Chemicals & Drugs	N0000007109	Fluphenazine [Chemical/Ingredient]	CHEM	Chemicals & Drugs	ZOU145W1XL	FLUPHENAZINE HYDROCHLORIDE
haldol, prolixin, shell fish and all sea food	shell fish	1	Map						N0000185020	Shellfish Proteins [Chemical/Ingredient]	CHEM	Chemicals & Drugs	1G4F72G3PH	SHELLFISH, UNSPECIFIED
HALDOL, THORZINE	HALDOL	1	Map		5093	Haloperidol	CHEM	Chemicals & Drugs	N0000006048	Haloperidol [Chemical/Ingredient]	CHEM	Chemicals & Drugs	J6292F8L3D	HALOPERIDOL
HALDOL, THORZINE	THORZINE	1	Map		2403	Chlorpromazine	CHEM	Chemicals & Drugs	N0000006947	Chlorpromazine [Chemical/Ingredient]	CHEM	Chemicals & Drugs	U42B7VYA4P	CHLORPROMAZINE
HALDOL; MUSHROOM	HALDOL	2	Map		5093	Haloperidol	CHEM	Chemicals & Drugs	N0000006048	Haloperidol [Chemical/Ingredient]	CHEM	Chemicals & Drugs	J6292F8L3D	HALOPERIDOL
HALDOL; MUSHROOM	MUSHROOM	2	Map	Close map	1311817	cultivated mushroom extract	CHEM	Chemicals & Drugs					54C8E6W6JY	CULTIVATED MUSHROOM
halophane	halophane	1	Map		5095	Halothane	CHEM	Chemicals & Drugs	N0000006050	Halothane [Chemical/Ingredient]	CHEM	Chemicals & Drugs	UQT9G45D1P	HALOTHANE
has tolerated cefazolin	has tolerated cefazolin	1	Text annotation only											
hay fever	hay fever	5	Map	Disorder/symptom					N0000171691	Rhinitis, Allergic, Seasonal [Disease/Finding]	DISO	Disorders		
hay fever, dogs,cats	cats	1	Map	Suggest adding text annotation					N0000184998	Dander [Chemical/Ingredient]	CHEM	Chemicals & Drugs		
hay fever, dogs,cats	dogs	1	Map	Suggest adding text annotation					N0000184998	Dander [Chemical/Ingredient]	CHEM	Chemicals & Drugs		
hay fever, dogs,cats	hay fever	1	Map	Disorder/symptom					N0000171691	Rhinitis, Allergic, Seasonal [Disease/Finding]	DISO	Disorders		
hayfever	hayfever	16	Map	Disorder/symptom					N0000171691	Rhinitis, Allergic, Seasonal [Disease/Finding]	DISO	Disorders		
hay-fever	hay-fever	1	Map	Disorder/symptom					N0000171691	Rhinitis, Allergic, Seasonal [Disease/Finding]	DISO	Disorders		
hayfever, pets, dust, mold	dust	1	Map		852519	house dust allergenic extract	CHEM	Chemicals & Drugs	N0000185012	House Dust [Chemical/Ingredient]	CHEM	Chemicals & Drugs	EYO007VX98	HOUSE DUST
hayfever, pets, dust, mold	hayfever	1	Map	Disorder/symptom					N0000171691	Rhinitis, Allergic, Seasonal [Disease/Finding]	DISO	Disorders		
hayfever, pets, dust, mold	mold	1	Map	Close map	235618	Mold Extract	CHEM	Chemicals & Drugs	N0000147229	ALLERGENIC EXTRACT, MOLD	CHEM	Chemicals & Drugs		
hayfever, pets, dust, mold	pets	1	Map	Suggest adding text annotation					N0000184998	Dander [Chemical/Ingredient]	CHEM	Chemicals & Drugs		
HAYFEVER, RAGWEED	HAYFEVER	1	Map	Disorder/symptom					N0000171691	Rhinitis, Allergic, Seasonal [Disease/Finding]	DISO	Disorders		
HAYFEVER, RAGWEED	RAGWEED	1	Map	Close map					N0000021039	ALLERGENIC EXTRACT,RAGWEED STOCK POLLEN	CHEM	Chemicals & Drugs	9W34L2CQ9A	AMBROSIA ARTEMISIIFOLIA
hazelnuts	hazelnuts	3	Map	Close map	891633	hazelnut allergenic extract	CHEM	Chemicals & Drugs	N0000020327	ALLERGENIC EXTRACT, TREE, HAZELNUT, CALIFORNIA	CHEM	Chemicals & Drugs	IW0OM96F6O	HAZELNUT, UNSPECIFIED
HAZELNUTS - TRUE ANAPHYLACTIC RXN	HAZELNUTS - TRUE ANAPHYLACTIC RXN	1	Map	Close map	891633	hazelnut allergenic extract	CHEM	Chemicals & Drugs	N0000020327	ALLERGENIC EXTRACT, TREE, HAZELNUT, CALIFORNIA	CHEM	Chemicals & Drugs	IW0OM96F6O	HAZELNUT, UNSPECIFIED
HCL	HCL	1	Do not map	Not allergy										
HCTZ	HCTZ	4	Map		5487	Hydrochlorothiazide	CHEM	Chemicals & Drugs	N0000006452	Hydrochlorothiazide [Chemical/Ingredient]	CHEM	Chemicals & Drugs	0J48LPH2TH	HYDROCHLOROTHIAZIDE
heatburn med	heatburn med	1	Map	Suggest adding text annotation					N0000029169	[GA100] ANTACIDS	CHEM	Chemicals & Drugs		
hemp seed	hemp seed	1	Map		1788846	HEMP	CHEM	Chemicals & Drugs	N0000193461	HEMP	CHEM	Chemicals & Drugs	QE567Z26NG	CANNABIS SATIVA SEED
Henna dyes	Henna dyes	1	Map	Suggest adding text annotation					N0000175533	Dyes [MoA]	PHYS	Physiology		
heparin	heparin	14	Map		5224	heparin	CHEM	Chemicals & Drugs	N0000006341	Heparin [Chemical/Ingredient]	CHEM	Chemicals & Drugs	T2410KM04A	HEPARIN
heparin (pig)	heparin (pig)	1	Map		235473	heparin, porcine	CHEM	Chemicals & Drugs	N0000006341	Heparin [Chemical/Ingredient]	CHEM	Chemicals & Drugs	T2410KM04A	HEPARIN
herbs	herbs	2	Text annotation only											
hg7	hg7	1	Do not map	Meaning unclear										
high acid content food	high acid content food	1	Text annotation only											
HIGH DOSE nonsteroidal antiinflammatory agent	HIGH DOSE nonsteroidal antiinflammatory agent	1	Map						N0000175721	Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient]	CHEM	Chemicals & Drugs		
High sodium	High sodium	1	Text annotation only	Not allergy										
hismanol	hismanol	1	Map		42328	Astemizole	CHEM	Chemicals & Drugs	N0000007383	Astemizole [Chemical/Ingredient]	CHEM	Chemicals & Drugs	7HU6337315	ASTEMIZOLE
histalog	histalog	1	Map						N0000167055	Betazole [Chemical/Ingredient]	CHEM	Chemicals & Drugs	66ABP6C83F	BETAZOLE HYDROCHLORIDE
Histamine	Histamine	1	Map		5333	Histamine	CHEM	Chemicals & Drugs	N0000006292	Histamine [Chemical/Ingredient]	CHEM	Chemicals & Drugs	820484N8I3	HISTAMINE
histamines	histamines	2	Map		5333	Histamine	CHEM	Chemicals & Drugs	N0000006292	Histamine [Chemical/Ingredient]	CHEM	Chemicals & Drugs	820484N8I3	HISTAMINE
'HIV MEDS	'HIV MEDS	1	Map	Suggest adding text annotation					N0000029089	[AM800] ANTIVIRALS	CHEM	Chemicals & Drugs		
hives	hives	1	Do not map	Disorder/symptom										
hives, rash	hives, rash	1	Do not map	Disorder/symptom										
holesterol med.	holesterol med.	1	Map	Suggest adding text annotation					N0000029122	[CV350] ANTILIPEMIC AGENTS	CHEM	Chemicals & Drugs		
honey	honey	2	Map		285279	Honey preparation	CHEM	Chemicals & Drugs					Y9H1V576FH	HONEY
honeydew	honeydew	2	Map	Close map	1363610	melon extract	CHEM	Chemicals & Drugs					RN8P45F92A	HONEYDEW MELON
honeydew melon	honeydew melon	1	Map	Close map	1363610	melon extract	CHEM	Chemicals & Drugs					RN8P45F92A	HONEYDEW MELON
hormones	hormones	1	Map						N0000011172	Hormones [Chemical/Ingredient]	CHEM	Chemicals & Drugs		
Hornets	Hornets	1	Map	Close map					N0000020591	ALLERGENIC EXTRACT,HORNET	CHEM	Chemicals & Drugs		
Horsae serum	Horsae serum	1	Text annotation only											
horse serum	horse serum	16	Text annotation only	Suggest adding text annotation										
horse serum tetanus	horse serum tetanus	1	Map	Suggest adding text annotation					N0000005562	Tetanus Antitoxin [Chemical/Ingredient]	CHEM	Chemicals & Drugs		
Horse tetanus	Horse tetanus	1	Map	Suggest adding text annotation					N0000005562	Tetanus Antitoxin [Chemical/Ingredient]	CHEM	Chemicals & Drugs		
Horses	Horses	3	Map	Suggest adding text annotation					N0000020684	HORSE DANDER	CHEM	Chemicals & Drugs	J81SZ18495	EQUUS CABALLUS DANDER
hot dogs	hot dogs	1	Text annotation only											
HOT PEPPER	HOT PEPPER	1	Map	Suggest adding text annotation	1427085	Pepper extract	CHEM	Chemicals & Drugs					6M47G7C4SY	RED PEPPER
hot peppers	hot peppers	1	Map	Suggest adding text annotation	1427085	Pepper extract	CHEM	Chemicals & Drugs						
HRT	HRT	1	Map						N0000175825	Estrogen [EPC]	CHEM	Chemicals & Drugs		
hsg dye	hsg dye	1	Map	Close match					N0000180185	Radiographic Contrast Agent [EPC]	CHEM	Chemicals & Drugs		
humabid	humabid	1	Map		5032	Guaifenesin	CHEM	Chemicals & Drugs	N0000006928	Guaifenesin [Chemical/Ingredient]	CHEM	Chemicals & Drugs	495W7451VQ	GUAIFENESIN
human insulin	human insulin	1	Map						N0000183505	Insulins [Chemical/Ingredient]	CHEM	Chemicals & Drugs	1Y17CTI5SR	INSULIN HUMAN
Hx. of Dystonic Rx with Neuroleptics	Hx. of Dystonic Rx with Neuroleptics	1	Map	Suggest adding text annotation					N0000029150	[CN700] ANTIPSYCHOTICS	CHEM	Chemicals & Drugs		
hycosamine	hycosamine	2	Map		153970	Hyoscyamine	CHEM	Chemicals & Drugs	N0000189428	Hyoscyamine [Chemical/Ingredient]	CHEM	Chemicals & Drugs	PX44XO846X	HYOSCYAMINE
hydralazine	hydralazine	1	Map		5470	Hydralazine	CHEM	Chemicals & Drugs	N0000006385	Hydralazine [Chemical/Ingredient]	CHEM	Chemicals & Drugs	26NAK24LS8	HYDRALAZINE
hydrocarbons	hydrocarbons	1	Map						N0000007973	Hydrocarbons [Chemical/Ingredient]	CHEM	Chemicals & Drugs		
hydrochlorathiazide	hydrochlorathiazide	3	Map		5487	Hydrochlorothiazide	CHEM	Chemicals & Drugs	N0000006452	Hydrochlorothiazide [Chemical/Ingredient]	CHEM	Chemicals & Drugs	0J48LPH2TH	HYDROCHLOROTHIAZIDE
hydrochloride	hydrochloride	1	Map						N0000007973	Hydrocarbons [Chemical/Ingredient]	CHEM	Chemicals & Drugs		
hydrochlorothiazide	hydrochlorothiazide	1	Map		5487	Hydrochlorothiazide	CHEM	Chemicals & Drugs	N0000006452	Hydrochlorothiazide [Chemical/Ingredient]	CHEM	Chemicals & Drugs	0J48LPH2TH	HYDROCHLOROTHIAZIDE
hydroclorathiazide	hydroclorathiazide	1	Map		5487	Hydrochlorothiazide	CHEM	Chemicals & Drugs	N0000006452	Hydrochlorothiazide [Chemical/Ingredient]	CHEM	Chemicals & Drugs	0J48LPH2TH	HYDROCHLOROTHIAZIDE
hydrocodone	hydrocodone	4	Map		5489	Hydrocodone	CHEM	Chemicals & Drugs	N0000006456	Hydrocodone [Chemical/Ingredient]	CHEM	Chemicals & Drugs	6YKS4Y3WQ7	HYDROCODONE
Hydrocortisone	Hydrocortisone	1	Map		5492	Hydrocortisone	CHEM	Chemicals & Drugs	N0000006460	Hydrocortisone [Chemical/Ingredient]	CHEM	Chemicals & Drugs	WI4X0X7BPJ	HYDROCORTISONE
Hydromorphone	Hydromorphone	1	Map		3423	Hydromorphone	CHEM	Chemicals & Drugs	N0000005957	Hydromorphone [Chemical/Ingredient]	CHEM	Chemicals & Drugs	Q812464R06	HYDROMORPHONE
HYOSAMINE	HYOSAMINE	1	Map		153970	Hyoscyamine	CHEM	Chemicals & Drugs	N0000189428	Hyoscyamine [Chemical/Ingredient]	CHEM	Chemicals & Drugs	PX44XO846X	HYOSCYAMINE
hysmanal	hysmanal	1	Map		42328	Astemizole	CHEM	Chemicals & Drugs	N0000007383	Astemizole [Chemical/Ingredient]	CHEM	Chemicals & Drugs	7HU6337315	ASTEMIZOLE
hytrin	hytrin	1	Map		37798	Terazosin	CHEM	Chemicals & Drugs	N0000179262	Terazosin [Chemical/Ingredient]	CHEM	Chemicals & Drugs	D32S14F082	TERAZOSIN HYDROCHLORIDE
i.v. contrast dye	i.v. contrast dye	1	Map		5933	Iodine	CHEM	Chemicals & Drugs	N0000180185	Radiographic Contrast Agent [EPC]	CHEM	Chemicals & Drugs	9679TC07X4	IODINE
ibupro	ibupro	1	Map		5640	Ibuprofen	CHEM	Chemicals & Drugs	N0000006993	Ibuprofen [Chemical/Ingredient]	CHEM	Chemicals & Drugs	WK2XYI10QM	IBUPROFEN
ibuprofen	ibuprofen	33	Map		5640	Ibuprofen	CHEM	Chemicals & Drugs	N0000006993	Ibuprofen [Chemical/Ingredient]	CHEM	Chemicals & Drugs	WK2XYI10QM	IBUPROFEN
ibuprofen, nsaids, contrast dye	contrast dye	1	Map		5933	Iodine	CHEM	Chemicals & Drugs	N0000180185	Radiographic Contrast Agent [EPC]	CHEM	Chemicals & Drugs	9679TC07X4	IODINE
ibuprofen, nsaids, contrast dye	ibuprofen	1	Map		5640	Ibuprofen	CHEM	Chemicals & Drugs	N0000006993	Ibuprofen [Chemical/Ingredient]	CHEM	Chemicals & Drugs	WK2XYI10QM	IBUPROFEN
ibuprofen, nsaids, contrast dye	nsaids	1	Map						N0000175721	Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient]	CHEM	Chemicals & Drugs		
ibuprofen/aspirin	aspirin	1	Map		1191	Aspirin	CHEM	Chemicals & Drugs	N0000006582	Aspirin [Chemical/Ingredient]	CHEM	Chemicals & Drugs	R16CO5Y76E	ASPIRIN
ibuprofen/aspirin	ibuprofen	1	Map		5640	Ibuprofen	CHEM	Chemicals & Drugs	N0000006993	Ibuprofen [Chemical/Ingredient]	CHEM	Chemicals & Drugs	WK2XYI10QM	IBUPROFEN
ibuprofin	ibuprofin	1	Map		5640	Ibuprofen	CHEM	Chemicals & Drugs	N0000006993	Ibuprofen [Chemical/Ingredient]	CHEM	Chemicals & Drugs	WK2XYI10QM	IBUPROFEN
Ibuprophen	Ibuprophen	10	Map		5640	Ibuprofen	CHEM	Chemicals & Drugs	N0000006993	Ibuprofen [Chemical/Ingredient]	CHEM	Chemicals & Drugs	WK2XYI10QM	IBUPROFEN
ice cream	ice cream	1	Text annotation only											
ICEBERG LETTUCE	ICEBERG LETTUCE	2	Map	Suggest adding text annotation	899448	lettuce allergenic extract	CHEM	Chemicals & Drugs					5PO6NN3RRJ	LETTUCE
idiopathic anaphalaxis	idiopathic anaphalaxis	1	Text annotation only	Disorder/symptom										
idiopathic anaphylaxis	idiopathic anaphylaxis	1	Text annotation only	Disorder/symptom										
idiopathic hives	idiopathic hives	1	Text annotation only	Disorder/symptom										
Ilasone	Ilasone	1	Map		4053	Erythromycin	CHEM	Chemicals & Drugs	N0000007133	Erythromycin [Chemical/Ingredient]	CHEM	Chemicals & Drugs	63937KV33D	ERYTHROMYCIN
ilesone	ilesone	1	Map		4053	Erythromycin	CHEM	Chemicals & Drugs	N0000007133	Erythromycin [Chemical/Ingredient]	CHEM	Chemicals & Drugs	63937KV33D	ERYTHROMYCIN
illizone	illizone	1	Map		4053	Erythromycin	CHEM	Chemicals & Drugs	N0000007133	Erythromycin [Chemical/Ingredient]	CHEM	Chemicals & Drugs	63937KV33D	ERYTHROMYCIN
illosone	illosone	2	Map		4053	Erythromycin	CHEM	Chemicals & Drugs	N0000007133	Erythromycin [Chemical/Ingredient]	CHEM	Chemicals & Drugs	63937KV33D	ERYTHROMYCIN
ILOSONE	ILOSONE	3	Map		4053	Erythromycin	CHEM	Chemicals & Drugs	N0000007133	Erythromycin [Chemical/Ingredient]	CHEM	Chemicals & Drugs	XRJ2P631HP	ERYTHROMYCIN ESTOLATE
imdur	imdur	1	Map		6057	Isosorbide	CHEM	Chemicals & Drugs	N0000006345	Isosorbide [Chemical/Ingredient]	CHEM	Chemicals & Drugs	LX1OH63030	ISOSORBIDE MONONITRATE
imetrex	imetrex	1	Map		37418	Sumatriptan	CHEM	Chemicals & Drugs	N0000007273	Sumatriptan [Chemical/Ingredient]	CHEM	Chemicals & Drugs	8R78F6L9VO	SUMATRIPTAN
imfereon	imfereon	1	Map		5992	Iron-Dextran Complex	CHEM	Chemicals & Drugs	N0000006242	Iron-Dextran Complex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	95HR524N2M	IRON DEXTRAN
imferon	imferon	1	Map		5992	Iron-Dextran Complex	CHEM	Chemicals & Drugs	N0000006242	Iron-Dextran Complex [Chemical/Ingredient]	CHEM	Chemicals & Drugs	95HR524N2M	IRON DEXTRAN
IMIPEMEN TESTED OK	IMIPEMEN TESTED OK	1	Text annotation only											
imitrax	imitrax	1	Map		37418	Sumatriptan	CHEM	Chemicals & Drugs	N0000007273	Sumatriptan [Chemical/Ingredient]	CHEM	Chemicals & Drugs	8R78F6L9VO	SUMATRIPTAN
Imitrex	Imitrex	3	Map		37418	Sumatriptan	CHEM	Chemicals & Drugs	N0000007273	Sumatriptan [Chemical/Ingredient]	CHEM	Chemicals & Drugs	8R78F6L9VO	SUMATRIPTAN
IMMODIUM	IMMODIUM	1	Map		6468	Loperamide	CHEM	Chemicals & Drugs	N0000007084	Loperamide [Chemical/Ingredient]	CHEM	Chemicals & Drugs	6X9OC3H4II	LOPERAMIDE
imuran	imuran	1	Map		1256	Azathioprine	CHEM	Chemicals & Drugs	N0000005799	Azathioprine [Chemical/Ingredient]	CHEM	Chemicals & Drugs	MRK240IY2L	AZATHIOPRINE
IMURIN	IMURIN	1	Map		1256	Azathioprine	CHEM	Chemicals & Drugs	N0000005799	Azathioprine [Chemical/Ingredient]	CHEM	Chemicals & Drugs	MRK240IY2L	AZATHIOPRINE
INAPSIN	INAPSIN	1	Map		3648	Droperidol	CHEM	Chemicals & Drugs	N0000006827	Droperidol [Chemical/Ingredient]	CHEM	Chemicals & Drugs	O9U0F09D5X	DROPERIDOL
inapsine	inapsine	3	Map		3648	Droperidol	CHEM	Chemicals & Drugs	N0000006827	Droperidol [Chemical/Ingredient]	CHEM	Chemicals & Drugs	O9U0F09D5X	DROPERIDOL
inderal	inderal	1	Map		8787	Propranolol	CHEM	Chemicals & Drugs	N0000006760	Propranolol [Chemical/Ingredient]	CHEM	Chemicals & Drugs	F8A3652H1V	PROPRANOLOL HYDROCHLORIDE
indochron	indochron	1	Map		5781	Indomethacin	CHEM	Chemicals & Drugs	N0000006990	Indomethacin [Chemical/Ingredient]	CHEM	Chemicals & Drugs	XXE1CET956	INDOMETHACIN
Indocin	Indocin	2	Map		5781	Indomethacin	CHEM	Chemicals & Drugs	N0000006990	Indomethacin [Chemical/Ingredient]	CHEM	Chemicals & Drugs	XXE1CET956	INDOMETHACIN
indocine	indocine	1	Map		5781	Indomethacin	CHEM	Chemicals & Drugs	N0000006990	Indomethacin [Chemical/Ingredient]	CHEM	Chemicals & Drugs	XXE1CET956	INDOMETHACIN
inectin	inectin	1	Text annotation only	Meaning unclear										
