Allergy_Free_Text_Description	Mention	Use Count	DECISION	Comment	RxNorm_CUI	RxNorm_Name	UMLS_CUI_2	NDFRT_Full_Name	UNII_Code	UNII_Display_Name	SNOMED_CONCEPTID	SNOMED_FSN	UMLS_CUI
furodiantin	furodiantin	1	Map		7454	Nitrofurantoin	C0028156	Nitrofurantoin [Chemical/Ingredient]	927AH8112L	NITROFURANTOIN	373543005	Nitrofurantoin (substance)	C0028156
furosemide	furosemide	2	Map		4603	Furosemide	C0016860	Furosemide [Chemical/Ingredient]	7LXU5N7ZO5	FUROSEMIDE	387475002	Furosemide (substance)	C0016860
G 6-PD	G 6-PD	1	Map	Suggest adding text annotation			C2939465	Glucosephosphate Dehydrogenase Deficiency [Disease/Finding]			124134002	Deficiency of glucose-6-phosphate dehydrogenase (disorder)	C2939465
g6pd	g6pd	2	Map	Suggest adding text annotation			C2939465	Glucosephosphate Dehydrogenase Deficiency [Disease/Finding]			124134002	Deficiency of glucose-6-phosphate dehydrogenase (disorder)	C2939465
G6PD DEFICIENCY	G6PD DEFICIENCY	2	Map	Suggest adding text annotation			C2939465	Glucosephosphate Dehydrogenase Deficiency [Disease/Finding]			124134002	Deficiency of glucose-6-phosphate dehydrogenase (disorder)	C2939465
G6PD deficient	G6PD deficient	1	Map	Suggest adding text annotation			C2939465	Glucosephosphate Dehydrogenase Deficiency [Disease/Finding]			124134002	Deficiency of glucose-6-phosphate dehydrogenase (disorder)	C2939465
gadallinium	gadallinium	1	Map		1310171	Gadolinium	C0016911	Gadolinium-based Contrast Agent [EPC]	AU0V1LM3JT	GADOLINIUM	58281002	Gadolinium (substance)	C0016911
gadavist	gadavist	1	Map		84990	gadobutrol	C0291216	gadobutrol [Chemical/Ingredient]	1BJ477IO2L	GADOBUTROL	418351005	Gadobutrol (substance)	C0291216
GADAVIST  MRI CONTRAST	GADAVIST  MRI CONTRAST	1	Map		1310171	Gadolinium	C0016911	Gadolinium-based Contrast Agent [EPC]	AU0V1LM3JT	GADOLINIUM	58281002	Gadolinium (substance)	C0016911
gadolinium	gadolinium	1	Map		1310171	Gadolinium	C0016911	Gadolinium-based Contrast Agent [EPC]	AU0V1LM3JT	GADOLINIUM	58281002	Gadolinium (substance)	C0016911
GADOLINIUM (CONTRAST DYE)	GADOLINIUM (CONTRAST DYE)	1	Map		1310171	Gadolinium	C0016911	Gadolinium-based Contrast Agent [EPC]	AU0V1LM3JT	GADOLINIUM	58281002	Gadolinium (substance)	C0016911
gadolinium?	gadolinium?	1	Map		1310171	Gadolinium	C0016911	Gadolinium-based Contrast Agent [EPC]	AU0V1LM3JT	GADOLINIUM	58281002	Gadolinium (substance)	C0016911
gadolium	gadolium	1	Map		1310171	Gadolinium	C0016911	Gadolinium-based Contrast Agent [EPC]	AU0V1LM3JT	GADOLINIUM	58281002	Gadolinium (substance)	C0016911
GADOLONIUM	GADOLONIUM	2	Map		1310171	Gadolinium	C0016911	Gadolinium-based Contrast Agent [EPC]	AU0V1LM3JT	GADOLINIUM	58281002	Gadolinium (substance)	C0016911
gamaglobulin	gamaglobulin	1	Map		5666	Immunoglobulin G	C0017033	gamma-Globins [Chemical/Ingredient]			29246005	Immunoglobulin G (substance)	C0020852
gamma globulin	gamma globulin	2	Map		5666	Immunoglobulin G	C0017033	gamma-Globins [Chemical/Ingredient]			116648000	gamma globulin (substance)	C0017007
Gamma-Globulin	Gamma-Globulin	1	Map		5666	Immunoglobulin G	C0017033	gamma-Globins [Chemical/Ingredient]			29246005	Immunoglobulin G (substance)	C0020852
gantamycin	gantamycin	1	Map		1596450	Gentamicin	C3854019	Gentamicins [Chemical/Ingredient]	T6Z9V48IKG	GENTAMICIN	387321007	Gentamicin (substance)	C3854019
gantanal	gantanal	1	Map		10180	Sulfamethoxazole	C0038689	Sulfamethoxazole [Chemical/Ingredient]	JE42381TNV	SULFAMETHOXAZOLE	363528007	Sulfamethoxazole (substance)	C0038689
gantricin	gantricin	2	Map		10207	Sulfisoxazole	C0038745	Sulfisoxazole [Chemical/Ingredient]	740T4C525W	SULFISOXAZOLE	372858002	Sulfafurazole (substance)	C0038745
gantrosyn	gantrosyn	1	Map		10207	Sulfisoxazole	C0038745	Sulfisoxazole [Chemical/Ingredient]	740T4C525W	SULFISOXAZOLE	372858002	Sulfafurazole (substance)	C0038745
garamycin opth.gtt	garamycin opth.gtt	1	Map		1596450	Gentamicin	C3854019	Gentamicins [Chemical/Ingredient]	T6Z9V48IKG	GENTAMICIN	387321007	Gentamicin (substance)	C3854019
garlic	garlic	8	Map		265647	Garlic preparation	C0993630		V1V998DC17	GARLIC	260172004	Garlic - dietary (substance)	C0993630
Gasoline	Gasoline	1	Map	Broader category, Suggest using original text as annotation	90737	Petroleum distillate	C0303762	PETROLEUM DISTILLATE			31086004	Gasoline (substance)	C0017113
gemsar	gemsar	1	Map		12574	gemcitabine	C0045093	gemcitabine [Chemical/Ingredient]	B76N6SBZ8R	GEMCITABINE	386920008	Gemcitabine (substance)	C0045093
general anesthesia	general anesthesia	7	Map				C3536928	General Anesthetic [EPC]			50697003	General anesthesia (procedure)	C0002915
general anesthetics	general anesthetics	1	Map				C3536928	General Anesthetic [EPC]					C3536928
generic benedryl	generic benedryl	1	Map		1362	Diphenhydramine Hydrochloride	C0004963	Diphenhydramine [Chemical/Ingredient]	TC2D6JAD40	DIPHENHYDRAMINE HYDROCHLORIDE	19510001	Diphenhydramine hydrochloride (substance)	C0004963
generic only	generic only	1	Do not map	Not allergy									
gent	gent	1	Map		1596450	Gentamicin	C3854019	Gentamicins [Chemical/Ingredient]	T6Z9V48IKG	GENTAMICIN	387321007	Gentamicin (substance)	C3854019
Gentamycin	Gentamycin	1	Map		1596450	Gentamicin	C3854019	Gentamicins [Chemical/Ingredient]	T6Z9V48IKG	GENTAMICIN	387321007	Gentamicin (substance)	C3854019
gentamycin, clindamycin	clindamycin	1	Map		2582	Clindamycin	C0008947	Clindamycin [Chemical/Ingredient]	3U02EL437C	CLINDAMYCIN	372786004	Clindamycin (substance)	C0008947
gentamycin, clindamycin	gentamycin	1	Map		1596450	Gentamicin	C3854019	Gentamicins [Chemical/Ingredient]	T6Z9V48IKG	GENTAMICIN	387321007	Gentamicin (substance)	C3854019
gentemyacin	gentemyacin	1	Map		1596450	Gentamicin	C3854019	Gentamicins [Chemical/Ingredient]	T6Z9V48IKG	GENTAMICIN	387321007	Gentamicin (substance)	C3854019
Genzar	Genzar	1	Map		12574	gemcitabine	C0045093	gemcitabine [Chemical/Ingredient]	B76N6SBZ8R	GEMCITABINE	386920008	Gemcitabine (substance)	C0045093
gerymyacin	gerymyacin	1	Map		1596450	Gentamicin	C3854019	Gentamicins [Chemical/Ingredient]	T6Z9V48IKG	GENTAMICIN	387321007	Gentamicin (substance)	C3854019
ginseng	ginseng	1	Map		259385	ginseng root	C0873137	GINSENG	CUQ3A77YXI	ASIAN GINSENG			C0873137
glaucoma eye drops	glaucoma eye drops	1	Map	Suggest adding text annotation			C1874284	[OP105] ANTIGLAUCOMA COMBINATIONS,TOPICAL OPHTHALMIC					C1874284
GLUCOPHAGE	GLUCOPHAGE	1	Map		6809	Metformin	C0770893	Metformin [Chemical/Ingredient]	786Z46389E	METFORMIN HYDROCHLORIDE	372567009	Metformin (substance)	C0025598
glue	glue	1	Text annotation only								57126000	Glue (substance)	C0017780
gluten	gluten	5	Map		1370781	Wheat gluten extract	C2827346	Glutens [Chemical/Ingredient]	1534K8653J	WHEAT GLUTEN	89811004	Gluten (substance)	C2362561
gluten molds	gluten	1	Map		1370781	Wheat gluten extract	C2827346	Glutens [Chemical/Ingredient]	1534K8653J	WHEAT GLUTEN	89811004	Gluten (substance)	C2362561
gluten molds	molds	1	Map	Close map	235618	Mold Extract	C0981926	ALLERGENIC EXTRACT, MOLD			84489001	Mold (organism)	C0369241
go lightly	go lightly	2	Map		815276	POLYETHYLENE GLYCOL 3350 / Potassium Chloride / Sodium Bicarbonate / Sodium Chloride / sodium sulfate	C1654715	BISACODYL/ELECTROLYTES/PEG-3350					C1654715
gold	gold	2	Map		1311190	Gold	C0018026	Gold [Chemical/Ingredient]	79Y1949PYO	GOLD	2309006	Gold (substance)	C0018026
gorgonzola cheese	gorgonzola cheese	1	Text annotation only								710041006	Gorgonzola cheese (substance)	C4038689
gorodotropin	gorodotropin	1	Map		4986	Chorionic Gonadotropin	C1527152	Gonadotropins [Chemical/Ingredient]	20ED16GHEB	CHORIONIC GONADOTROPIN	408755005	Choriogonadotropin (substance)	C0018062
grain vinegar	grain vinegar	1	Text annotation only										
GRAIN, WHEAT	GRAIN, WHEAT	1	Map		1441652	Wheat preparation	C0043137	WHEAT	4J2I0SN84Y	WHEAT	412071004	Wheat (substance)	C0043137
GRAPE JELLY	GRAPE JELLY	1	Map	Close map	253172	grape extract							C0795617
grape juice	grape juice	1	Map	Close map	253172	grape extract					226492005	Grape juice (substance)	C0452455
Grapefruit	Grapefruit	5	Map		124323	GRAPEFRUIT EXTRACT	C0995150	GRAPEFRUIT	O82C39RR8C	GRAPEFRUIT	256315005	Grapefruit (substance)	C0995150
grapefruit juice	grapefruit juice	1	Map		124323	GRAPEFRUIT EXTRACT	C0452456	GRAPEFRUIT	JQ9EK2H6BG	GRAPEFRUIT JUICE	226493000	Grapefruit juice (substance)	C0452456
grapes	grapes	2	Map	Close map	253172	grape extract					256317002	Grapes (substance)	C0018208
Grass	Grass	3	Map				C0795585	Pollen [Chemical/Ingredient]	3729L8MA2C	BEE POLLEN	422304003	Family Poaceae (organism)	C0018210
grass mold	grass	1	Map	Suggest adding text annotation			C0795585	Pollen [Chemical/Ingredient]	3729L8MA2C	BEE POLLEN	422304003	Family Poaceae (organism)	C0018210
grass mold	mold	1	Map	Close map	235618	Mold Extract	C0981926	ALLERGENIC EXTRACT, MOLD			84489001	Mold (organism)	C0369241
grass trees dust mold ragwee	dust	1	Map	Suggest adding text annotation	852519	house dust allergenic extract	C0524581	House Dust [Chemical/Ingredient]	EYO007VX98	HOUSE DUST	33008008	Dust (substance)	C0013330
grass trees dust mold ragwee	grass	1	Map	Suggest adding text annotation			C0795585	Pollen [Chemical/Ingredient]	3729L8MA2C	BEE POLLEN	422304003	Family Poaceae (organism)	C0018210
grass trees dust mold ragwee	mold	1	Map	Close map	235618	Mold Extract	C0981926	ALLERGENIC EXTRACT, MOLD			84489001	Mold (organism)	C0369241
grass trees dust mold ragwee	ragwee	1	Map	Close map			C0993207	ALLERGENIC EXTRACT,RAGWEED STOCK POLLEN			256303006	Ragweed pollen (substance)	C0440357
grass trees dust mold ragwee	trees	1	Map	Suggest adding text annotation			C0795585	Pollen [Chemical/Ingredient]	3729L8MA2C	BEE POLLEN	412583005	Bee pollen (substance)	C0795585
grass trees mold	grass	1	Map	Suggest adding text annotation			C0795585	Pollen [Chemical/Ingredient]	3729L8MA2C	BEE POLLEN	422304003	Family Poaceae (organism)	C0018210
grass trees mold	mold	1	Map	Close map	235618	Mold Extract	C0981926	ALLERGENIC EXTRACT, MOLD			84489001	Mold (organism)	C0369241
grass trees mold	trees	1	Map	Suggest adding text annotation			C0795585	Pollen [Chemical/Ingredient]	3729L8MA2C	BEE POLLEN	412583005	Bee pollen (substance)	C0795585
Grass Weeds Trees	Grass	1	Map	Suggest adding text annotation			C0795585	Pollen [Chemical/Ingredient]	3729L8MA2C	BEE POLLEN	422304003	Family Poaceae (organism)	C0018210
Grass Weeds Trees	Trees	1	Map	Suggest adding text annotation			C0795585	Pollen [Chemical/Ingredient]	3729L8MA2C	BEE POLLEN	412583005	Bee pollen (substance)	C0795585
Grass Weeds Trees	Weeds	1	Map	Suggest adding text annotation			C0795585	Pollen [Chemical/Ingredient]	3729L8MA2C	BEE POLLEN	412583005	Bee pollen (substance)	C0795585
grasses	grasses	1	Map	Suggest adding text annotation			C0795585	Pollen [Chemical/Ingredient]	3729L8MA2C	BEE POLLEN	412583005	Bee pollen (substance)	C0795585
green antiseptic scrub	green antiseptic scrub	1	Map	Suggest adding text annotation			C3536839	Antiseptic [EPC]					C3536839
green peppers	green peppers	1	Map	Close map	1315118	green bell pepper extract	C2348896		4J4DOU3HEK	GREEN BELL PEPPER			C2348896
green tea	green tea	1	Map		659476	Green Tea Extract	C1704263	GREEN TEA	W2ZU1RY8B0	GREEN TEA LEAF	412194001	Green tea (substance)	C1384640
guacamole	guacamole	1	Map	Close match	895582	avocado allergenic extract	C0330230		SDS87L369F	AVOCADO	227872003	Guacamole (substance)	C0453686
guafenesin	guafenesin	1	Map		5032	Guaifenesin	C0018305	Guaifenesin [Chemical/Ingredient]	495W7451VQ	GUAIFENESIN	87174009	Guaifenesin (substance)	C0018305
guifcinocin (substance in antihistamines	guifcinocin (substance in antihistamines	1	Map		5032	Guaifenesin	C0018305	Guaifenesin [Chemical/Ingredient]	495W7451VQ	GUAIFENESIN	87174009	Guaifenesin (substance)	C0018305
Gusiefenesin	Gusiefenesin	1	Map		5032	Guaifenesin	C0018305	Guaifenesin [Chemical/Ingredient]	495W7451VQ	GUAIFENESIN	87174009	Guaifenesin (substance)	C0018305
Hair dye	Hair dye	5	Map	Suggest adding text annotation			C2757062	Dyes [MoA]			412145001	Hair dye (substance)	C0018501
haldol	haldol	8	Map		5093	Haloperidol	C0018546	Haloperidol [Chemical/Ingredient]	J6292F8L3D	HALOPERIDOL	386837002	Haloperidol (substance)	C0018546
HALDOL --  (RASH)	HALDOL --  (RASH)	1	Map		5093	Haloperidol	C0018546	Haloperidol [Chemical/Ingredient]	J6292F8L3D	HALOPERIDOL	386837002	Haloperidol (substance)	C0018546
haldol, prolixin, shell fish and all sea food	all sea food	1	Text annotation only								44027008	Seafood (substance)	C0206208
haldol, prolixin, shell fish and all sea food	haldol	1	Map		5093	Haloperidol	C0018546	Haloperidol [Chemical/Ingredient]	J6292F8L3D	HALOPERIDOL	386837002	Haloperidol (substance)	C0018546
haldol, prolixin, shell fish and all sea food	prolixin	1	Map		4496	Fluphenazine	C0700567	Fluphenazine [Chemical/Ingredient]	ZOU145W1XL	FLUPHENAZINE HYDROCHLORIDE	372730004	Fluphenazine (substance)	C0016368
haldol, prolixin, shell fish and all sea food	shell fish	1	Map				C1304606	Shellfish Proteins [Chemical/Ingredient]	1G4F72G3PH	SHELLFISH, UNSPECIFIED	735029006	Shellfish (substance)	C1304606
HALDOL, THORZINE	HALDOL	1	Map		5093	Haloperidol	C0018546	Haloperidol [Chemical/Ingredient]	J6292F8L3D	HALOPERIDOL	386837002	Haloperidol (substance)	C0018546
HALDOL, THORZINE	THORZINE	1	Map		2403	Chlorpromazine	C0008286	Chlorpromazine [Chemical/Ingredient]	U42B7VYA4P	CHLORPROMAZINE	387258005	Chlorpromazine (substance)	C0008286
HALDOL; MUSHROOM	HALDOL	2	Map		5093	Haloperidol	C0018546	Haloperidol [Chemical/Ingredient]	J6292F8L3D	HALOPERIDOL	386837002	Haloperidol (substance)	C0018546
HALDOL; MUSHROOM	MUSHROOM	2	Map	Close map	1311817	cultivated mushroom extract	C0678206		54C8E6W6JY	CULTIVATED MUSHROOM	227252000	Mushroom - dietary (substance)	C0678206
halophane	halophane	1	Map		5095	Halothane	C0018549	Halothane [Chemical/Ingredient]	UQT9G45D1P	HALOTHANE	387351001	Halothane (substance)	C0018549
has tolerated cefazolin	has tolerated cefazolin	1	Text annotation only										
hay fever	hay fever	5	Map	Disorder/symptom			C0018621	Rhinitis, Allergic, Seasonal [Disease/Finding]			21719001	Allergic rhinitis caused by pollen (disorder)	C0018621
hay fever, dogs,cats	cats	1	Map	Suggest adding text annotation			C3486461	Dander [Chemical/Ingredient]			260152009	Cat dander (substance)	C0440456
hay fever, dogs,cats	dogs	1	Map	Suggest adding text annotation			C3486461	Dander [Chemical/Ingredient]			260154005	Dog dander (substance)	C0440458
hay fever, dogs,cats	hay fever	1	Map	Disorder/symptom			C0018621	Rhinitis, Allergic, Seasonal [Disease/Finding]			21719001	Allergic rhinitis caused by pollen (disorder)	C0018621
hayfever	hayfever	16	Map	Disorder/symptom			C0018621	Rhinitis, Allergic, Seasonal [Disease/Finding]			21719001	Allergic rhinitis caused by pollen (disorder)	C0018621
hay-fever	hay-fever	1	Map	Disorder/symptom			C0018621	Rhinitis, Allergic, Seasonal [Disease/Finding]			444316004	Seasonal allergy (disorder)	C0018621
hayfever, pets, dust, mold	dust	1	Map		852519	house dust allergenic extract	C0524581	House Dust [Chemical/Ingredient]	EYO007VX98	HOUSE DUST	33008008	Dust (substance)	C0013330
hayfever, pets, dust, mold	hayfever	1	Map	Disorder/symptom			C0018621	Rhinitis, Allergic, Seasonal [Disease/Finding]			21719001	Allergic rhinitis caused by pollen (disorder)	C0018621
hayfever, pets, dust, mold	mold	1	Map	Close map	235618	Mold Extract	C0981926	ALLERGENIC EXTRACT, MOLD			84489001	Mold (organism)	C0369241
hayfever, pets, dust, mold	pets	1	Map	Suggest adding text annotation			C3486461	Dander [Chemical/Ingredient]					C3486461
HAYFEVER, RAGWEED	HAYFEVER	1	Map	Disorder/symptom			C0018621	Rhinitis, Allergic, Seasonal [Disease/Finding]			21719001	Allergic rhinitis caused by pollen (disorder)	C0018621
HAYFEVER, RAGWEED	RAGWEED	1	Map	Close map			C0993207	ALLERGENIC EXTRACT,RAGWEED STOCK POLLEN	9W34L2CQ9A	AMBROSIA ARTEMISIIFOLIA	256303006	Ragweed pollen (substance)	C0440357
hazelnuts	hazelnuts	3	Map	Close map	891633	hazelnut allergenic extract	C0440288	ALLERGENIC EXTRACT, TREE, HAZELNUT, CALIFORNIA	IW0OM96F6O	HAZELNUT, UNSPECIFIED	256353000	Hazelnut (substance)	C0440288
HAZELNUTS - TRUE ANAPHYLACTIC RXN	HAZELNUTS - TRUE ANAPHYLACTIC RXN	1	Map	Close map	891633	hazelnut allergenic extract	C0440288	ALLERGENIC EXTRACT, TREE, HAZELNUT, CALIFORNIA	IW0OM96F6O	HAZELNUT, UNSPECIFIED	256353000	Hazelnut (substance)	C0440288
HCL	HCL	1	Do not map	Not allergy									
HCTZ	HCTZ	4	Map		5487	Hydrochlorothiazide	C0020261	Hydrochlorothiazide [Chemical/Ingredient]	0J48LPH2TH	HYDROCHLOROTHIAZIDE	387525002	Hydrochlorothiazide (substance)	C0020261
heatburn med	heatburn med	1	Map	Suggest adding text annotation			C0003138	[GA100] ANTACIDS			372794006	Antacid (substance)	C0003138
hemp seed	hemp seed	1	Map		1788846	HEMP	C0162335	HEMP	QE567Z26NG	CANNABIS SATIVA SEED	442831000124108	Hemp seed (substance)	C3853313
Henna dyes	Henna dyes	1	Map	Suggest adding text annotation			C2757062	Dyes [MoA]					C2757062
heparin	heparin	14	Map		5224	heparin	C0019134	Heparin [Chemical/Ingredient]	T2410KM04A	HEPARIN	372877000	Heparin (substance)	C0019134
heparin (pig)	heparin (pig)	1	Map		235473	heparin, porcine	C0019134	Heparin [Chemical/Ingredient]	T2410KM04A	HEPARIN	412201008	Porcine heparin (substance)	C0770546
herbs	herbs	2	Text annotation only										
hg7	hg7	1	Do not map	Meaning unclear									
high acid content food	high acid content food	1	Text annotation only										
HIGH DOSE nonsteroidal antiinflammatory agent	HIGH DOSE nonsteroidal antiinflammatory agent	1	Map				C2916905	Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient]					C2916905
High sodium	High sodium	1	Text annotation only	Not allergy									
hismanol	hismanol	1	Map		42328	Astemizole	C0085170	Astemizole [Chemical/Ingredient]	7HU6337315	ASTEMIZOLE	387333002	Astemizole (substance)	C0085170
histalog	histalog	1	Map				C0770851	Betazole [Chemical/Ingredient]	66ABP6C83F	BETAZOLE HYDROCHLORIDE	260241009	1H-Pyrazole-3-ethanamine dihydrochloride (substance)	C0887591
Histamine	Histamine	1	Map		5333	Histamine	C0019588	Histamine [Chemical/Ingredient]	820484N8I3	HISTAMINE	54235008	Histamine (substance)	C0019588
histamines	histamines	2	Map		5333	Histamine	C0019588	Histamine [Chemical/Ingredient]	820484N8I3	HISTAMINE	54235008	Histamine (substance)	C0019588
'HIV MEDS	'HIV MEDS	1	Map	Suggest adding text annotation			C0003451	[AM800] ANTIVIRALS			372701006	Antiviral agent (substance)	C0003451
hives	hives	1	Do not map	Disorder/symptom									
hives, rash	hives, rash	1	Do not map	Disorder/symptom									
holesterol med.	holesterol med.	1	Map	Suggest adding text annotation			C0086440	[CV350] ANTILIPEMIC AGENTS			373267003	Antilipemic agent (substance)	C0086440
honey	honey	2	Map		285279	Honey preparation	C0019906		Y9H1V576FH	HONEY	227598003	Honey (substance)	C0019906
honeydew	honeydew	2	Map	Close map	1363610	melon extract	C2348991		RN8P45F92A	HONEYDEW MELON	442531000124105	Honeydew melon (substance)	C2348991
honeydew melon	honeydew melon	1	Map	Close map	1363610	melon extract	C2348991		RN8P45F92A	HONEYDEW MELON	442531000124105	Honeydew melon (substance)	C2348991
hormones	hormones	1	Map				C0019932	Hormones [Chemical/Ingredient]			87568004	Hormone (substance)	C0019932
Hornets	Hornets	1	Map	Close map			C0981906	ALLERGENIC EXTRACT,HORNET					C0981906
Horsae serum	Horsae serum	1	Text annotation only										
horse serum	horse serum	16	Text annotation only	Suggest adding text annotation									
horse serum tetanus	horse serum tetanus	1	Map	Suggest adding text annotation			C0039615	Tetanus Antitoxin [Chemical/Ingredient]			427004002	Tetanus antitoxin (substance)	C0039615
Horse tetanus	Horse tetanus	1	Map	Suggest adding text annotation			C0039615	Tetanus Antitoxin [Chemical/Ingredient]			427004002	Tetanus antitoxin (substance)	C0039615
Horses	Horses	3	Map	Suggest adding text annotation			C1446536	HORSE DANDER	J81SZ18495	EQUUS CABALLUS DANDER			C1446536
hot dogs	hot dogs	1	Text annotation only										
HOT PEPPER	HOT PEPPER	1	Map	Suggest adding text annotation	1427085	Pepper extract	C2362311		6M47G7C4SY	RED PEPPER	442671000124107	Hot pepper (substance)	C2362311
hot peppers	hot peppers	1	Map	Suggest adding text annotation	1427085	Pepper extract							C3264738
HRT	HRT	1	Map				C2936882	Estrogen [EPC]					C2936882
hsg dye	hsg dye	1	Map	Close match			C2917425	Radiographic Contrast Agent [EPC]					C2917425
humabid	humabid	1	Map		5032	Guaifenesin	C0018305	Guaifenesin [Chemical/Ingredient]	495W7451VQ	GUAIFENESIN	87174009	Guaifenesin (substance)	C0018305
human insulin	human insulin	1	Map				C0795635	Insulins [Chemical/Ingredient]	1Y17CTI5SR	INSULIN HUMAN	96367001	Human insulin (substance)	C0795635
Hx. of Dystonic Rx with Neuroleptics	Hx. of Dystonic Rx with Neuroleptics	1	Map	Suggest adding text annotation			C0040615	[CN700] ANTIPSYCHOTICS			372482001	Anti-psychotic agent (substance)	C0040615
hycosamine	hycosamine	2	Map		153970	Hyoscyamine	C0596004	Hyoscyamine [Chemical/Ingredient]	PX44XO846X	HYOSCYAMINE	372757002	Hyoscyamine (substance)	C0596004
hydralazine	hydralazine	1	Map		5470	Hydralazine	C0020223	Hydralazine [Chemical/Ingredient]	26NAK24LS8	HYDRALAZINE	387125005	Hydralazine (substance)	C0020223
hydrocarbons	hydrocarbons	1	Map				C0020242	Hydrocarbons [Chemical/Ingredient]			80382003	Hydrocarbon (substance)	C0020242
hydrochlorathiazide	hydrochlorathiazide	3	Map		5487	Hydrochlorothiazide	C0020261	Hydrochlorothiazide [Chemical/Ingredient]	0J48LPH2TH	HYDROCHLOROTHIAZIDE	387525002	Hydrochlorothiazide (substance)	C0020261
hydrochloride	hydrochloride	1	Map				C0020242	Hydrocarbons [Chemical/Ingredient]			80382003	Hydrocarbon (substance)	C0020242
hydrochlorothiazide	hydrochlorothiazide	1	Map		5487	Hydrochlorothiazide	C0020261	Hydrochlorothiazide [Chemical/Ingredient]	0J48LPH2TH	HYDROCHLOROTHIAZIDE	387525002	Hydrochlorothiazide (substance)	C0020261
hydroclorathiazide	hydroclorathiazide	1	Map		5487	Hydrochlorothiazide	C0020261	Hydrochlorothiazide [Chemical/Ingredient]	0J48LPH2TH	HYDROCHLOROTHIAZIDE	387525002	Hydrochlorothiazide (substance)	C0020261
hydrocodone	hydrocodone	4	Map		5489	Hydrocodone	C0020264	Hydrocodone [Chemical/Ingredient]	6YKS4Y3WQ7	HYDROCODONE	372671002	Hydrocodone (substance)	C0020264
Hydrocortisone	Hydrocortisone	1	Map		5492	Hydrocortisone	C0020268	Hydrocortisone [Chemical/Ingredient]	WI4X0X7BPJ	HYDROCORTISONE	396458002	Hydrocortisone (substance)	C0020268
Hydromorphone	Hydromorphone	1	Map		3423	Hydromorphone	C0012306	Hydromorphone [Chemical/Ingredient]	Q812464R06	HYDROMORPHONE	44508008	Hydromorphone (substance)	C0012306
HYOSAMINE	HYOSAMINE	1	Map		153970	Hyoscyamine	C0596004	Hyoscyamine [Chemical/Ingredient]	PX44XO846X	HYOSCYAMINE	372757002	Hyoscyamine (substance)	C0596004
hysmanal	hysmanal	1	Map		42328	Astemizole	C0085170	Astemizole [Chemical/Ingredient]	7HU6337315	ASTEMIZOLE	387333002	Astemizole (substance)	C0085170
hytrin	hytrin	1	Map		37798	Terazosin	C0770137	Terazosin [Chemical/Ingredient]	D32S14F082	TERAZOSIN HYDROCHLORIDE	387068008	Terazosin (substance)	C0076107
i.v. contrast dye	i.v. contrast dye	1	Map		5933	Iodine	C0021968	Radiographic Contrast Agent [EPC]	9679TC07X4	IODINE	44588005	Iodine (substance)	C0021968
ibupro	ibupro	1	Map		5640	Ibuprofen	C0020740	Ibuprofen [Chemical/Ingredient]	WK2XYI10QM	IBUPROFEN	387207008	Ibuprofen (substance)	C0020740
ibuprofen	ibuprofen	33	Map		5640	Ibuprofen	C0020740	Ibuprofen [Chemical/Ingredient]	WK2XYI10QM	IBUPROFEN	387207008	Ibuprofen (substance)	C0020740
ibuprofen, nsaids, contrast dye	contrast dye	1	Map		5933	Iodine	C0021968	Radiographic Contrast Agent [EPC]	9679TC07X4	IODINE	44588005	Iodine (substance)	C0021968
ibuprofen, nsaids, contrast dye	ibuprofen	1	Map		5640	Ibuprofen	C0020740	Ibuprofen [Chemical/Ingredient]	WK2XYI10QM	IBUPROFEN	387207008	Ibuprofen (substance)	C0020740
ibuprofen, nsaids, contrast dye	nsaids	1	Map				C2916905	Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient]			372665008	Non-steroidal anti-inflammatory agent (substance)	C0003211
ibuprofen/aspirin	aspirin	1	Map		1191	Aspirin	C0004057	Aspirin [Chemical/Ingredient]	R16CO5Y76E	ASPIRIN	387458008	Aspirin (substance)	C0004057
ibuprofen/aspirin	ibuprofen	1	Map		5640	Ibuprofen	C0020740	Ibuprofen [Chemical/Ingredient]	WK2XYI10QM	IBUPROFEN	387207008	Ibuprofen (substance)	C0020740
ibuprofin	ibuprofin	1	Map		5640	Ibuprofen	C0020740	Ibuprofen [Chemical/Ingredient]	WK2XYI10QM	IBUPROFEN	387207008	Ibuprofen (substance)	C0020740
Ibuprophen	Ibuprophen	10	Map		5640	Ibuprofen	C0020740	Ibuprofen [Chemical/Ingredient]	WK2XYI10QM	IBUPROFEN	387207008	Ibuprofen (substance)	C0020740
ice cream	ice cream	1	Text annotation only								227708009	Ice cream (substance)	C0020747
ICEBERG LETTUCE	ICEBERG LETTUCE	2	Map	Suggest adding text annotation	899448	lettuce allergenic extract	C0242765		5PO6NN3RRJ	LETTUCE	260186000	Lettuce - dietary (substance)	C0242765
idiopathic anaphalaxis	idiopathic anaphalaxis	1	Text annotation only	Disorder/symptom									
idiopathic anaphylaxis	idiopathic anaphylaxis	1	Text annotation only	Disorder/symptom							241954008	Idiopathic anaphylaxis (disorder)	C0413235
idiopathic hives	idiopathic hives	1	Text annotation only	Disorder/symptom									
